Categoria,Cultivar,Quantidade (KG),Total_Categoria,Ano
TINTAS,Bailey,0.0,0.0,1977
TINTAS,Bordo,18714617.0,0.0,1977
TINTAS,Bourdin (S),0.0,0.0,1977
TINTAS,BRS Carmen,0.0,0.0,1977
TINTAS,BRS Cora,0.0,0.0,1977
TINTAS,BRS Magna,0.0,0.0,1977
TINTAS,BRS Margot,0.0,0.0,1977
TINTAS,BRS Morena,0.0,0.0,1977
TINTAS,BRS Núbia,0.0,0.0,1977
TINTAS,BRS Rúbea,0.0,0.0,1977
TINTAS,BRS Violeta,0.0,0.0,1977
TINTAS,BRS Vitória,0.0,0.0,1977
TINTAS,Champagnon (Champanheta),0.0,0.0,1977
TINTAS,Coleções,0.0,0.0,1977
TINTAS,Concord,7387125.0,0.0,1977
TINTAS,Concord clone 30,0.0,0.0,1977
TINTAS,Couderc,4214237.0,0.0,1977
TINTAS,Cynthiana(1),738472.0,0.0,1977
TINTAS,Herbemont,53226940.0,0.0,1977
TINTAS,IAC 138022,0.0,0.0,1977
TINTAS,Isabel,175906184.0,0.0,1977
TINTAS,Isabel Precoce,0.0,0.0,1977
TINTAS,Jacquez,681039.0,0.0,1977
TINTAS,Kyoko,0.0,0.0,1977
TINTAS,Landot,62198.0,0.0,1977
TINTAS,Mistura de uvas americanas tinto,0.0,0.0,1977
TINTAS,Oberlin,22059.0,0.0,1977
TINTAS,Othello,46765.0,0.0,1977
TINTAS,Paco,0.0,0.0,1977
TINTAS,Patricia,0.0,0.0,1977
TINTAS,Seibel,11772470.0,0.0,1977
TINTAS,Seibel 2 (seibeleto),0.0,0.0,1977
TINTAS,Seyve Willard (Tinta),0.0,0.0,1977
TINTAS,Vênus,0.0,0.0,1977
BRANCAS E ROSADAS_TOTAL,,0.0,2587615.0,1977
BRANCAS E ROSADAS,Baco,13095.0,0.0,1977
BRANCAS E ROSADAS,Bokay,0.0,0.0,1977
BRANCAS E ROSADAS,BRS Bibiana,0.0,0.0,1977
BRANCAS E ROSADAS,BRS Clara,0.0,0.0,1977
BRANCAS E ROSADAS,BRS Lorena,0.0,0.0,1977
BRANCAS E ROSADAS,Couderc 13,0.0,0.0,1977
BRANCAS E ROSADAS,Delaware,0.0,0.0,1977
BRANCAS E ROSADAS,Dona Zillá,0.0,0.0,1977
BRANCAS E ROSADAS,Dut Chess,0.0,0.0,1977
BRANCAS E ROSADAS,Goethe,20404.0,0.0,1977
BRANCAS E ROSADAS,IAC,0.0,0.0,1977
BRANCAS E ROSADAS,Juliana,0.0,0.0,1977
BRANCAS E ROSADAS,Martha,921.0,0.0,1977
BRANCAS E ROSADAS,Mistura de uvas americanas,0.0,0.0,1977
BRANCAS E ROSADAS,Moscato Embrapa,0.0,0.0,1977
BRANCAS E ROSADAS,Niagara,2468965.0,0.0,1977
BRANCAS E ROSADAS,Niagara Branca,0.0,0.0,1977
BRANCAS E ROSADAS,Niagara Rosada,0.0,0.0,1977
BRANCAS E ROSADAS,Poloske,0.0,0.0,1977
BRANCAS E ROSADAS,Seleções,0.0,0.0,1977
BRANCAS E ROSADAS,Seyve Villard,84230.0,0.0,1977
BRANCAS E ROSADAS,Seyve Villard 5276,0.0,0.0,1977
